@RELATION training

@ATTRIBUTE ram REAL
@ATTRIBUTE cpuutilisation REAL
@ATTRIBUTE hostutilisation REAL
@ATTRIBUTE sla REAL
@ATTRIBUTE migration {0,1}

@DATA
613,0.863066,8,0.040576,1
613,0.588233,6,0.056224,1
613,0.889462,6,0.041285,1
613,0.924577,6,0.054211,1
613,0.544621,4,0.095816,1
613,0.065249,0,0.045862,1
870,0.265488,10,0.04586,1
613,0.934238,8,0.070982,1
870,0.915078,41,0.029475,1
870,0.99507,41,0.008196,1
613,0.07203,0,0.015033,1
870,0.997287,28,0.041891,1
870,0.649919,25,0.035032,1
613,0.877216,7,0.040681,1
613,0.804592,7,0.016625,1
870,0.346166,18,0.102184,1
613,0.61964,4,0.060034,1
613,0.785953,6,0.06955,1
613,0.897754,7,0.027531,1
870,0.781125,34,0.022964,1
613,0.638359,5,0.040559,1
613,0.8575,10,0.035861,1
613,0.290699,2,0.036698,1
613,0.768412,7,0.045437,1
613,0.798158,7,0.023361,1
613,0.299894,2,0.049837,1
613,0.722465,6,0.023896,1
613,0.496042,4,0.017109,1
613,0.98195,8,0.047009,1
870,0.548592,23,0.009339,1
870,0.761743,33,0.036608,1
870,0.754074,29,0.056661,1
1740,0.115804,5,0.016037,1
613,0.601031,6,0.056918,1
613,0.983058,10,0.04634,1
613,0.323773,3,0.016464,1
613,0.20176,2,0.004816,1
870,0.973595,43,0.08434,1
613,0.985966,10,0.065865,1
613,0.273911,2,0.052337,1
870,0.78839,34,0.048924,1
613,0.639678,5,0.028145,1
613,0.304214,3,0.035991,1
613,0.803532,7,0.029914,1
613,0.060096,1,0.018846,1
870,0.991087,30,0.044801,1
870,0.792587,57,0.048661,1
613,0.726079,7,0.058595,1
1740,0.611585,12,0.05273,1
613,0.940138,9,0.042822,1
870,0.960538,48,0.036824,1
613,0.788021,9,0.033145,1
613,0.755669,6,0.02547,1
613,0.999406,7,0.034828,1
613,0.094841,1,0.023985,1
613,0.51983,4,0.050458,1
613,0.416754,4,0.048815,1
613,0.560227,5,0.006541,1
613,0.309178,3,0.046215,1
613,0.344641,3,0.071081,1
613,0.456701,4,0.050533,1
613,0.320334,3,0.060174,1
613,0.836409,8,0.03657,1
613,0.061505,1,0.028542,1
870,0.623068,29,0.016524,1
613,0.838867,6,0.002203,1
870,0.945254,36,0.03587,1
870,0.694173,32,0.115694,1
613,0.301223,3,0.030838,1
613,0.049899,0,0.005826,1
613,0.869964,9,0.037847,1
613,0.341841,4,0.023367,1
613,0.938726,10,0.0274,1
613,0.287493,3,0.036763,1
613,0.296292,2,0.022339,1
613,0.781931,6,0.102422,1
870,0.236158,10,0.029017,1
613,0.87821,6,0.068121,1
613,0.287933,2,0.034775,1
870,0.703223,25,0.049889,1
870,0.533923,19,0.010034,1
613,0.296845,2,0.029294,1
870,0.574359,22,0.009461,1
1740,0.995871,20,0.041198,1
613,0.517056,5,0.073501,1
613,0.664897,7,0.012544,1
870,0.921963,36,0.035996,1
870,0.326229,16,0.044995,1
1740,0.826647,38,0.00731,1
613,0.022397,0,0.043646,1
870,0.925017,34,0.017519,1
613,0.324323,3,0.045957,1
613,0.450963,4,0.022573,1
870,0.948965,44,0.090685,1
870,0.760393,36,0.030147,1
613,0.677767,6,0.01533,1
613,0.571371,4,0.024923,1
613,0.390086,3,0.051501,1
613,0.052002,0,0.060882,1
870,0.712265,26,0.041541,1
613,0.408319,4,0.048265,1
613,0.201733,2,0.002778,1
613,0.432738,4,0.03639,1
613,0.629617,6,0.013396,1
613,0.551967,4,0.044635,1
870,0.792583,32,0.054175,1
1740,0.973595,34,0.01182,1
870,0.415963,20,0.022914,1
1740,0.693797,27,0.02597,1
613,0.259044,2,0.010289,1
613,0.010334,0,0.067987,1
1740,0.57701,20,0.036862,1
613,0.957191,9,0.086286,1
870,0.45541,20,0.042592,1
1740,0.659991,17,0.039559,1
613,0.960233,6,0.044952,1
870,0.954963,33,0.06666,1
1740,0.915642,33,0.043609,1
870,0.109843,6,0.075325,1
613,0.856767,6,0.026131,1
613,0.789386,6,0.060016,1
613,0.632894,5,0.012365,1
870,0.944881,41,0.052309,1
613,0.545261,4,0.02508,1
613,0.403988,3,0.036436,1
613,0.097802,1,0.009121,1
613,0.730724,7,0.002762,1
870,0.467304,23,0.050092,1
613,0.959347,9,0.006785,1
870,0.843369,46,0.018598,1
870,0.386056,14,0.045324,1
613,0.334851,3,0.042441,1
613,0.180204,2,0.016681,1
613,0.730367,6,0.031299,1
613,0.849089,11,0.047923,1
870,0.308337,14,0.063808,1
870,0.658255,30,0.04054,1
870,0.397267,19,0.103242,1
870,0.843956,31,0.032049,1
1740,0.863078,14,0.01449,1
613,0.519883,7,0.034452,1
613,0.401573,3,0.057364,1
613,0.763323,6,0.02485,1
